==========================================
Lines of Code Report (Diff-based)
==========================================
Author: Chun Wee
Since: 2026-03-16
Generated: Sun Apr  5 01:26:40 +08 2026
==========================================

==========================================
ACTUAL CODE CHANGES PER FILE (NO BLANKS/COMMENTS)
==========================================
Tracked extensions: .cpp .hpp .h .c

File                                                                        Added    Deleted        Net
--------------------------------------------------------------------------------------------
MyoonchiDiner/Core/CustomerManagerLogic.cpp                                     9          9          0
MyoonchiDiner/Core/CustomerManagerLogic.hpp                                     2          2          0
MyoonchiDiner/Core/CustomerOrderUILogic.cpp                                     1          2         -1
MyoonchiDiner/Core/CustomerOrderUILogic.hpp                                     1          1          0
MyoonchiDiner/Core/CustomerTableLogic.cpp                                       2          2          0
MyoonchiDiner/Core/CustomerTableLogic.hpp                                       1          1          0
MyoonchiDiner/Core/DishLogic.cpp                                                1          1          0
MyoonchiDiner/Core/DishLogic.hpp                                                1          1          0
MyoonchiDiner/Core/ExitGateLogic.cpp                                            1          1          0
MyoonchiDiner/Core/ExitGateLogic.hpp                                            1          1          0
MyoonchiDiner/Core/FoodTypes.hpp                                                1          1          0
MyoonchiDiner/Core/HowToPlayButtonLogic.cpp                                     2          3         -1
MyoonchiDiner/Core/HowToPlayButtonLogic.hpp                                     2          2          0
MyoonchiDiner/Core/IngredientBoxLogic.cpp                                      14         14          0
MyoonchiDiner/Core/IngredientBoxLogic.hpp                                       1          1          0
MyoonchiDiner/Core/IngredientLogic.cpp                                          1          1          0
MyoonchiDiner/Core/IngredientLogic.hpp                                          1          1          0
MyoonchiDiner/Core/MenuButtonLogic.cpp                                          2          2          0
MyoonchiDiner/Core/MenuButtonLogic.hpp                                          1          1          0
MyoonchiDiner/Core/OrderUILogic.cpp                                             1          1          0
MyoonchiDiner/Core/OrderUILogic.hpp                                             2          2          0
MyoonchiDiner/Core/PauseButtonLogic.cpp                                         1          1          0
MyoonchiDiner/Core/PauseButtonLogic.hpp                                         1          1          0
MyoonchiDiner/Core/PlateLogic.cpp                                               3          2          1
MyoonchiDiner/Core/PlateLogic.hpp                                               1          1          0
MyoonchiDiner/Core/PlayerLogic.cpp                                             61       1562      -1501
MyoonchiDiner/Core/PlayerLogic.hpp                                             37         13         24
MyoonchiDiner/Core/PlayerLogicCarry.cpp                                       173          0        173
MyoonchiDiner/Core/PlayerLogicHover.cpp                                       258          0        258
MyoonchiDiner/Core/PlayerLogicInteraction.cpp                                 567          0        567
MyoonchiDiner/Core/PlayerLogicMovement.cpp                                    448          0        448
MyoonchiDiner/Core/PlayerLogicShared.hpp                                       91          0         91
MyoonchiDiner/Core/Quota.cpp                                                   10          8          2
MyoonchiDiner/Core/Quota.hpp                                                   18          9          9
MyoonchiDiner/Core/SimpleNpcLogic.cpp                                          16         15          1
MyoonchiDiner/Core/SimpleNpcLogic.hpp                                           1          1          0
MyoonchiDiner/Core/StartGamePromptLogic.cpp                                     1          1          0
MyoonchiDiner/Core/StartGamePromptLogic.hpp                                     2          2          0
MyoonchiDiner/Core/TableLogic.cpp                                               1          5         -4
MyoonchiDiner/Core/TableLogic.hpp                                               1          1          0
MyoonchiDiner/Core/TrashCanLogic.cpp                                            4          4          0
MyoonchiDiner/Core/TrashCanLogic.hpp                                            1          1          0
MyoonchiDiner/Core/WorkTableLogic.cpp                                           1          1          0
MyoonchiDiner/Core/WorkTableLogic.hpp                                           1          1          0
MyoonchiDiner/GameBootstrap.cpp                                                21         21          0
MyoonchiDiner/GameCore/CustomerManagerLogic.cpp                                20         18          2
MyoonchiDiner/GameCore/CustomerManagerLogic.hpp                                 4          4          0
MyoonchiDiner/GameCore/CustomerOrderUILogic.cpp                                17         16          1
MyoonchiDiner/GameCore/CustomerOrderUILogic.hpp                                11         10          1
MyoonchiDiner/GameCore/CustomerTableLogic.cpp                                  11         11          0
MyoonchiDiner/GameCore/CustomerTableLogic.hpp                                   7          6          1
MyoonchiDiner/GameCore/DishLogic.cpp                                            6          5          1
MyoonchiDiner/GameCore/DishLogic.hpp                                            2          2          0
MyoonchiDiner/GameCore/ExitGateLogic.cpp                                        3          3          0
MyoonchiDiner/GameCore/ExitGateLogic.hpp                                        2          2          0
MyoonchiDiner/GameCore/FoodTypes.hpp                                           14         14          0
MyoonchiDiner/GameCore/HowToPlayButtonLogic.cpp                               139         87         52
MyoonchiDiner/GameCore/HowToPlayButtonLogic.hpp                                22         20          2
MyoonchiDiner/GameCore/InGamePauseTriggerLogic.cpp                              6         10         -4
MyoonchiDiner/GameCore/InGamePauseTriggerLogic.hpp                              5          5          0
MyoonchiDiner/GameCore/IngredientBoxLogic.cpp                                  17         19         -2
MyoonchiDiner/GameCore/IngredientBoxLogic.hpp                                   6          6          0
MyoonchiDiner/GameCore/IngredientLogic.cpp                                      2          2          0
MyoonchiDiner/GameCore/IngredientLogic.hpp                                      2          2          0
MyoonchiDiner/GameCore/MenuButtonLogic.cpp                                     53         25         28
MyoonchiDiner/GameCore/MenuButtonLogic.hpp                                      8          6          2
MyoonchiDiner/GameCore/MenuKeyboardNavigation.cpp                               1          1          0
MyoonchiDiner/GameCore/OrderUILogic.cpp                                        60         33         27
MyoonchiDiner/GameCore/OrderUILogic.hpp                                         9          8          1
MyoonchiDiner/GameCore/PauseButtonLogic.cpp                                    32         17         15
MyoonchiDiner/GameCore/PauseButtonLogic.hpp                                     6          5          1
MyoonchiDiner/GameCore/PlateLogic.cpp                                          16         15          1
MyoonchiDiner/GameCore/PlateLogic.hpp                                          33         34         -1
MyoonchiDiner/GameCore/PlayerLogic.cpp                                         26          9         17
MyoonchiDiner/GameCore/PlayerLogic.hpp                                        106        104          2
MyoonchiDiner/GameCore/PlayerLogicCarry.cpp                                     9         10         -1
MyoonchiDiner/GameCore/PlayerLogicHover.cpp                                     4          5         -1
MyoonchiDiner/GameCore/PlayerLogicInteraction.cpp                             139         53         86
MyoonchiDiner/GameCore/PlayerLogicMovement.cpp                                 40         18         22
MyoonchiDiner/GameCore/PlayerLogicShared.hpp                                    7          8         -1
MyoonchiDiner/GameCore/Quota.cpp                                               47         36         11
MyoonchiDiner/GameCore/Quota.hpp                                                7          6          1
MyoonchiDiner/GameCore/SettingsMenuLogic.cpp                                  452          7        445
MyoonchiDiner/GameCore/SettingsMenuLogic.hpp                                   60          5         55
MyoonchiDiner/GameCore/SimpleNpcLogic.cpp                                      24         22          2
MyoonchiDiner/GameCore/SimpleNpcLogic.hpp                                     119        119          0
MyoonchiDiner/GameCore/StartGamePromptLogic.cpp                               118         65         53
MyoonchiDiner/GameCore/StartGamePromptLogic.hpp                                 8         12         -4
MyoonchiDiner/GameCore/TableLogic.cpp                                          25          8         17
MyoonchiDiner/GameCore/TableLogic.hpp                                           7          8         -1
MyoonchiDiner/GameCore/TrashCanLogic.cpp                                        5          6         -1
MyoonchiDiner/GameCore/TrashCanLogic.hpp                                        1          1          0
MyoonchiDiner/GameCore/WorkTableLogic.cpp                                      25         26         -1
MyoonchiDiner/GameCore/WorkTableLogic.hpp                                       9          7          2
MyoonchiDiner/GamePaths.hpp                                                    12          8          4
MyoonchiDiner/MyoonchiDinerBindings.cpp                                       259        168         91
MyoonchiDiner/MyoonchiDinerBindings.hpp                                         1          1          0
TheStove/Core/Application.cpp                                                 648         53        595
TheStove/Core/Application.hpp                                                  19          0         19
TheStove/Core/ApplicationFlowCoordinator.cpp                                   26          0         26
TheStove/Core/ApplicationFlowCoordinator.hpp                                   16          0         16
TheStove/Core/ApplicationShutdown.hpp                                           3          0          3
TheStove/Core/ApplicationState.hpp                                             43          4         39
TheStove/Core/AudioLoading.cpp                                                 45         49         -4
TheStove/Core/AudioLoading.hpp                                                  1          1          0
TheStove/Core/AudioManager.cpp                                                145         92         53
TheStove/Core/AudioManager.hpp                                                 10          4          6
TheStove/Core/Collision.cpp                                                     6          6          0
TheStove/Core/Collision.hpp                                                     2          2          0
TheStove/Core/CollisionManager.cpp                                              6          3          3
TheStove/Core/CollisionManager.hpp                                              3          3          0
TheStove/Core/ComponentCreator.hpp                                              8         10         -2
TheStove/Core/ConfigManager.cpp                                                 7          9         -2
TheStove/Core/ConfigManager.hpp                                                 2          2          0
TheStove/Core/Core.cpp                                                         49         27         22
TheStove/Core/Core.hpp                                                          4          4          0
TheStove/Core/DebugUI.cpp                                                      26         15         11
TheStove/Core/DebugUI.hpp                                                       1          1          0
TheStove/Core/DebugVisualizer.cpp                                               1          1          0
TheStove/Core/DebugVisualizer.hpp                                               1          1          0
TheStove/Core/EngineRng.cpp                                                     1          1          0
TheStove/Core/EngineRng.hpp                                                     1          1          0
TheStove/Core/Factory.cpp                                                      23         16          7
TheStove/Core/Factory.hpp                                                       2          1          1
TheStove/Core/FileDropHandler.cpp                                              19         20         -1
TheStove/Core/FileDropHandler.hpp                                               1          1          0
TheStove/Core/FilePaths.hpp                                                     1          1          0
TheStove/Core/FontSystem.cpp                                                   20         20          0
TheStove/Core/FontSystem.hpp                                                    3          3          0
TheStove/Core/Forces.cpp                                                        1          1          0
TheStove/Core/Forces.hpp                                                        2          2          0
TheStove/Core/GOC.cpp                                                          23         15          8
TheStove/Core/GOC.hpp                                                           6          6          0
TheStove/Core/GameBootstrap.hpp                                                 2          2          0
TheStove/Core/GameComponent.hpp                                                 2          2          0
TheStove/Core/GameObjectLogic.cpp                                               1          1          0
